,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
446,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here there is a bird's nest here you are empty-handed,you are empty-handed,feel bird,you can't see any songbird here ,-1.0,,-11.5,190,446
447,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here there is a bird's nest here you are empty-handed,you are empty-handed ,eat nest,taken i don't think that the bird's nest would agree with you,4.5, inventory score (you are empty-handed  --- you are carrying a bird's nest) new area score ---forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest - moved around - ,-7.0,191,447
448,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,wear egg,you can't wear the jewel-encrusted egg,-1.0,,-8.0,192,448
449,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest ,go west,forest path,-0.5, - moved around - ,-8.5,193,449
450,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go south,north of house,-0.5, - moved around - ,-9.0,194,450
451,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go east,behind house,-0.5, - moved around - ,-9.5,195,451
452,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,go northwest,north of house,-0.5, - moved around - ,-10.0,196,452
453,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southeast,behind house,-0.5, - moved around - ,-10.5,197,453
454,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,go south,south of house,-0.5, - moved around - ,-11.0,198,454
455,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest,you are carrying a bird's nest,go west,west of house there is a small mailbox here,-0.5, - moved around - ,-11.5,199,455
456,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest,you are carrying a bird's nest,go northeast,north of house,-0.5, - moved around - ,-12.0,200,456
457,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southwest,west of house there is a small mailbox here,-0.5, - moved around - ,-12.5,201,457
458,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,-13.0,202,458
459,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go east,forest path,-0.5, - moved around - ,-13.5,203,459
460,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go south,north of house,-0.5, - moved around - ,-14.0,204,460
461,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.0, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are empty-handed - moved around - ,-12.0,205,461
462,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest,0.0, - moved around - ,-12.0,206,462
463,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southeast,behind house,-0.5, - moved around - ,-12.5,207,463
464,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,hide forest in window,you don't have that,-1.0,,-13.5,208,464
465,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,fill window with path,that's easy for you to say since you don't even have the way,-1.0,,-14.5,209,465
466,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,go northwest,north of house,-0.5, - moved around - ,-15.0,210,466
467,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southwest,west of house there is a small mailbox here,-0.5, - moved around - ,-15.5,211,467
468,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest,you are carrying a bird's nest,enter house,i can't see how to get in from here,-1.0,,-16.5,212,468
469,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest,you are carrying a bird's nest,go north,north of house,-0.5, - moved around - ,-17.0,213,469
470,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,0.0, - moved around - ,-17.0,214,470
471,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are empty-handed,you are empty-handed,spray nest on door,you can't see any door here,-1.0,,-18.0,215,471
472,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees there is a bird's nest here you are empty-handed,you are empty-handed,read nest with path,taken how does one look through a way,0.0, - moved around - ,-18.0,216,472
473,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go north,forest path,-0.5, - moved around - ,-18.5,217,473
474,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,pour bird,you can't see any songbird here,-1.0,,-19.5,218,474
475,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go east,forest there is a jewel-encrusted egg here ,-0.5, - moved around - ,-20.0,219,475
476,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path ,-0.5, - moved around - ,-20.5,220,476
477,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,-21.0,221,477
478,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-21.5,222,478
479,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go south,forest path,-0.5, - moved around - ,-22.0,223,479
480,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go east,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,-22.5,224,480
481,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.0, new area score ---forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed - moved around - ,-20.5,225,481
482,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,wear egg,you can't wear the jewel-encrusted egg ,-1.0,,-21.5,226,482
483,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,read bird,you can't see any songbird here,-1.0,,-22.5,227,483
484,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go north,the forest becomes impenetrable to the north ,-1.0,,-23.5,228,484
485,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed ,move trees in bird,you don't have the forest,-1.0,,-24.5,229,485
486,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,pick bird with nest,you can't see any songbird here ,-1.0,,-25.5,230,486
487,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,make nest,you can't do that,-1.0,,-26.5,231,487
488,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,pick nest,you can't pick that,-1.0,,-27.5,232,488
489,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,-28.0,233,489
490,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-28.5,234,490
491,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest ,-0.5, - moved around - ,-29.0,235,491
492,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-29.5,236,492
493,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree,-0.5, - moved around - ,-30.0,237,493
494,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,spray branches on tree,how singularly useless,-1.0,,-31.0,238,494
495,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,-31.5,239,495
496,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,-32.0,240,496
497,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,-32.5,241,497
498,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go south,south of house,-0.5, - moved around - ,-33.0,242,498
499,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,-33.5,243,499
500,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go northeast,north of house,-0.5, - moved around - ,-34.0,244,500
501,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,-34.5,245,501
502,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-35.0,246,502
503,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-35.5,247,503
504,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go east,forest there is a bird's nest here there is a jewel-encrusted egg here,-0.5, - moved around - ,-36.0,248,504
505,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,enter nest,an interesting idea,-1.0,,-37.0,249,505
506,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,pour bird,you can't see any songbird here ,-1.0,,-38.0,250,506
507,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,get bird,the songbird is not here but is probably nearby,-1.0,,-39.0,251,507
508,forest this is a dimly lit forest with large trees all around there is a bird's nest here there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,0.0, - moved around - ,-39.0,252,508
509,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,make egg,you can't do that,-1.0,,-40.0,253,509
510,forest this is a dimly lit forest with large trees all around there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path,-0.5, - moved around - ,-40.5,254,510
511,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,unlock nest with tree,it doesn't seem to work,-1.0,,-41.5,255,511
512,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go southeast,south of house you are facing the south side of a white house there is no door here and all the windows are boarded,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,1.5,0,512
513,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go northeast,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed - moved around - ,3.0,1,513
514,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go northwest,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,4.5,2,514
515,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,4.0,3,515
516,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go east,clearing you are in a small clearing in a well marked forest path that extends to the east and west,1.5, new area score ---clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed - moved around - ,5.5,4,516
517,clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed,you are empty-handed,go south,forest this is a dimly lit forest with large trees all around,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,7.0,5,517
518,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,8.5,6,518
519,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path ,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,10.0,7,519
520,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile ,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,11.5,8,520
521,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest,4.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,16.0,9,521
522,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,pour nest,the nest falls to the ground and the egg spills out of it seriously damaged,4.5, inventory score (you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg --- you are empty-handed) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed - moved around - ,20.5,10,522
523,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest,4.5, inventory score (you are empty-handed --- you are carrying a bird's nest) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest - moved around - ,25.0,11,523
524,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest - moved around - ,26.5,12,524
525,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,eat egg,taken i don't think that the broken jewel-encrusted egg would agree with you,4.5, inventory score (you are carrying a bird's nest --- you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest) new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest - moved around - ,31.0,13,525
526,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,unlock nest with path,it doesn't seem to work,-1.0,,30.0,14,526
527,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,go up,up a tree ,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest - moved around - ,31.5,15,527
528,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,make tree,you can't do that,-1.0,,30.5,16,528
529,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,enter tree,you hit your head against the tree as you attempt this feat,-1.0,,29.5,17,529
530,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,eat egg,i don't think that the broken jewel-encrusted egg would agree with you,-1.0,,28.5,18,530
531,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pick nest with bird,you can't see any songbird here,-1.0,,27.5,19,531
532,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest ,eat tree,i don't think that the tree would agree with you,-1.0,,26.5,20,532
533,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,read egg,how does one read a broken jewel-encrusted egg,-1.0,,25.5,21,533
534,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,get nest,you already have that,-1.0,,24.5,22,534
535,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,ask bird,you can't see any songbird here,-1.0,,23.5,23,535
536,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,give nest to bird,you can't see any songbird here,-1.0,,22.5,24,536
537,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,play bird,you can't see any songbird here,-1.0,,21.5,25,537
538,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,leave tree,you're not carrying the tree ,-1.0,,20.5,26,538
539,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,go northwest,you can't go that way,-1.0,,19.5,27,539
540,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,enter bird,you can't see any songbird here,-1.0,,18.5,28,540
541,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,play nest,that's silly,-1.0,,17.5,29,541
542,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,leave bird,you're not carrying the songbird ,-1.0,,16.5,30,542
543,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest ,go southwest,you can't go that way,-1.0,,15.5,31,543
544,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,unlock bird with nest,you can't see any songbird here,-1.0,,14.5,32,544
545,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pick nest,you can't pick that,-1.0,,13.5,33,545
546,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,go up,you cannot climb any higher,-1.0,,12.5,34,546
547,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,unlock bird with tree,you can't see any songbird here,-1.0,,11.5,35,547
548,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,read nest,how does one read a bird's nest,-1.0,,10.5,36,548
549,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,get egg,you already have that,-1.0,,9.5,37,549
550,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,go south,you can't go that way,-1.0,,8.5,38,550
551,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pick bird,you can't see any songbird here,-1.0,,7.5,39,551
