,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
1219,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,pour path,you're not carrying the way,-1.0,,37.0,3,1219
1220,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go north,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,19.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,56.5,4,1220
1221,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,56.0,5,1221
1222,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,55.5,6,1222
1223,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,55.0,7,1223
1224,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,open window,with great effort you open the window far enough to allow entry,19.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed - moved around - ,74.5,8,1224
1225,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go northwest,north of house,-0.5, - moved around - ,74.0,9,1225
1226,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,93.5,10,1226
1227,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go south,north of house,-0.5, - moved around - ,93.0,11,1227
1228,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,92.5,12,1228
1229,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go southwest,south of house,-0.5, - moved around - ,92.0,13,1229
1230,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go south,forest this is a dimly lit forest with large trees all around,19.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,111.5,14,1230
1231,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,131.0,15,1231
1232,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,130.5,16,1232
1233,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,19.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,150.0,17,1233
1234,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,149.5,18,1234
1235,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,-0.5, - moved around - ,149.0,19,1235
1236,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,148.5,20,1236
1237,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,148.0,21,1237
1238,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,spray forest with trees,how singularly useless ,-1.0,,147.0,22,1238
1239,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,146.5,23,1239
1240,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,166.0,24,1240
1241,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,165.5,25,1241
1242,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,165.0,26,1242
1243,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,164.5,27,1243
1244,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go south,south of house,-0.5, - moved around - ,164.0,28,1244
1245,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,163.5,29,1245
1246,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,163.0,30,1246
1247,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,162.5,31,1247
1248,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,162.0,32,1248
1249,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,161.5,33,1249
1250,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,161.0,34,1250
1251,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,160.5,35,1251
1252,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,160.0,36,1252
1253,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go northwest,north of house,-0.5, - moved around - ,159.5,37,1253
1254,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,159.0,38,1254
1255,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,find house,it's right here are you blind or something,-1.0,,158.0,39,1255
1256,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go east,clearing you are in a small clearing in a well marked forest path that extends to the east and west,19.5, new area score ---clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed - moved around - ,177.5,40,1256
1257,clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,177.0,41,1257
1258,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,176.5,42,1258
1259,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest ,-0.5, - moved around - ,176.0,43,1259
1260,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,175.5,44,1260
1261,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,175.0,45,1261
1262,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,-0.5, - moved around - ,174.5,46,1262
1263,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,69.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,244.0,47,1263
1264,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,leave nest,the nest falls to the ground and the egg spills out of it seriously damaged,69.5, inventory score (you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg --- you are empty-handed ) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed - moved around - ,313.5,48,1264
1265,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed ,get nest,taken,69.5, inventory score (you are empty-handed  --- you are carrying a bird's nest) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest - moved around - ,383.0,49,1265
1266,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest - moved around - ,402.5,50,1266
1267,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest ,fix nest with bird,you can't see any songbird here,-1.0,,401.5,51,1267
1268,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go up,up a tree,-0.5, - moved around - ,401.0,52,1268
1269,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,leave nest,the bird's nest falls to the ground,69.5, inventory score (you are carrying a bird's nest --- you are empty-handed) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach on the ground below you can see a bird's nest and a broken jewel- encrusted egg you are empty-handed - moved around - ,470.5,53,1269
1270,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach on the ground below you can see a bird's nest and a broken jewel- encrusted egg you are empty-handed,you are empty-handed,carry nest to tree,that sentence isn't one i recognize,-1.0,,469.5,54,1270
1271,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach on the ground below you can see a bird's nest and a broken jewel- encrusted egg you are empty-handed,you are empty-handed,make egg,you can't see any egg here,-1.0,,468.5,55,1271
1272,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach on the ground below you can see a bird's nest and a broken jewel- encrusted egg you are empty-handed,you are empty-handed,go down,forest path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed - moved around - ,488.0,56,1272
1273,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,read nest with path,taken how does one look through a way,49.5, inventory score (you are empty-handed --- you are carrying a bird's nest) - moved around - ,537.5,57,1273
1274,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,fill egg,there is nothing to fill it with,-1.0,,536.5,58,1274
1275,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest - moved around - ,556.0,59,1275
1276,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go south,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have,-0.5, - moved around - ,555.5,60,1276
1277,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,0.0, - moved around - ,555.5,61,1277
1278,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,read nest with bird,taken how does one look through a songbird ,0.0, - moved around - ,555.5,62,1278
1279,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go east,forest,19.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest - moved around - ,575.0,63,1279
1280,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go northeast,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,19.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,19.5,0,1280
1281,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go east,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,19.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed - moved around - ,39.0,1,1281
1282,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go northwest,north of house,-0.5, - moved around - ,38.5,2,1282
1283,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,38.0,3,1283
1284,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,37.5,4,1284
1285,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,37.0,5,1285
1286,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,36.5,6,1286
1287,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,56.0,7,1287
1288,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,75.5,8,1288
1289,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,19.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,95.0,9,1289
1290,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,94.5,10,1290
1291,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,94.0,11,1291
1292,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,113.5,12,1292
1293,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,113.0,13,1293
1294,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,112.5,14,1294
1295,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,112.0,15,1295
1296,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,111.5,16,1296
1297,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,111.0,17,1297
1298,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,110.5,18,1298
1299,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,19.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,130.0,19,1299
1300,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you ,69.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,199.5,20,1300
1301,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,read egg with nest,how does one look through a bird's nest,-1.0,,198.5,21,1301
1302,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg ,go down,forest path,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,218.0,22,1302
1303,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go north,clearing on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,237.5,23,1303
1304,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go west,forest,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,257.0,24,1304
1305,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,256.5,25,1305
1306,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go south,forest path,-0.5, - moved around - ,256.0,26,1306
1307,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go south,north of house,19.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,275.5,27,1307
1308,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go north,forest path,-0.5, - moved around - ,275.0,28,1308
1309,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go south,north of house,-0.5, - moved around - ,274.5,29,1309
1310,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,read door with nest,you can't see any door here,-1.0,,273.5,30,1310
1311,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go southwest,west of house there is a small mailbox here,19.5, new area score ---west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,293.0,31,1311
